artist,album,num_tracks,album_length,release_date,listeners,scrobbles,tags,tracks
BLOOMS CORDA,7 Pisen,7.0,27:03,23 April 2014,285,"2,627","['ukrainian', 'funk', 'lounge', 'ukraine', 'pop', 'ukrainian', 'funk', 'lounge']","['zemletrus', 'viter', 'scho take bez-tebe-vechir', 'soldat na placu', 'zoloto Reinu', 'udam scho naspravdi', 'Vidkruemo Vesnu']"
BLOOMS CORDA,Fog Lavender,8.0,30:46,28 October 2018,"3,837","34,793","['ukr', 'ukrainian', 'funk', 'lounge', 'ukraine', 'ukrainian', 'funk', 'lounge']","['Kolo', 'Mozhe', 'Plateau', 'Moya california', 'Sapphire', 'Vechirka na odnogo', 'Kodzuro', 'hto pryide']"
BLOOMS CORDA,Fog Lavender [Explicit],8.0,,31 March 2020,20,37,"['ukrainian', 'funk', 'lounge', 'ukraine', 'pop', 'ukrainian', 'funk', 'lounge']","['Kolo', 'Mozhe', 'Plateau', 'Moya california', 'Sapphire', 'Vechirka Na Odnogo [Explicit]', 'Kodzuro', 'hto pryide']"
BLOOMS CORDA,Gigotosia,10.0,41:44,19 October 2016,"1,381","17,234","['ukrainian', 'funk', 'lounge', 'ukraine', 'pop', 'ukrainian', 'funk', 'lounge']","['kudy vse pishlo', 'run', 'Tvoi glaza', 'Tetrisy iz fraz feat. Sophistication', 'Man', 'Syva boroda', 'U poshukah myloi lyudyny', 'Baron', 'Odnonichnyi roman', 'Tramvai']"
BLOOMS CORDA,Monodance,10.0,44:24,19 October 2015,"2,594","20,632","['ukrainian', 'funk', 'lounge', 'ukraine', 'pop', 'ukrainian', 'funk', 'lounge']","['epigraph', 'lyst do Kathrine', 'Dlya Polnogo Schastya', 'dyvo', 'Jack', 'tvaryna', 'moya kimnata', 'tattoo', 'iz azartom u ochah', 'asfaltove lito']"
BLOOMS CORDA,Monodance bonus tracks,5.0,,2 December 2015,54,328,"['ukrainian', 'funk', 'lounge', 'ukraine', 'pop', 'ukrainian', 'funk', 'lounge']","['tattoo (minimalistic)', 'v ochikuvanni chogos kraschogo', 'serce moe (piano version)', 'Christmas goodness', 'serce moe']"
BLOOMS CORDA,Sottoportico,5.0,18:22,19 October 2020,866,"6,574","['ukrainian', 'funk', 'lounge', 'ukraine', 'pop', 'ukrainian', 'funk', 'lounge']","['Ідеальний Ранок', 'Форель', 'Нью-Йорк', 'Недобудови', 'Лу']"
BLOOMS CORDA,"Дощ іде, але сонце світить",11.0,43:13,19 April 2024,"1,048","12,698","['ukrainian', 'funk', 'lounge', 'ukraine', 'pop', 'ukrainian', 'funk', 'lounge']","['Майбутнє', 'Король троянд', 'Пісня про війну', 'Слоу моушн', 'Все не ок, але я ок', 'Тато', 'Чарівний кларнет', 'Стамбул', 'Даня у клітці зі спогадами', 'Музей змарнілих ентузіазмів', 'О, мій світ']"
BLOOMS CORDA,Найдорожчі речі у світі,10.0,37:46,10 June 2022,"2,552","27,304","['ukrainian', 'funk', 'lounge', 'ukraine', 'pop', 'ukrainian', 'funk', 'lounge']","['Олмост йелоу', 'Робінзон криза', 'Київський вокзал', 'Тарханкут', 'Панічна контратака', 'Ран іі (найкращий друг)', 'Ода звичайному дню', 'Спірічуал', 'Повертаюсь до життя', 'Орфей']"
Dazzle Dreams,(go! Go! Go!) Disco Killers,14.0,58:47,2009,229,"4,335","['synth pop', 'ethno', 'ukrainian', 'electronic', 'electropop', 'ukrainian', 'electronic', 'electropop']","['Dana She Dana', 'Disko Killers', 'Step By Step', 'Sunrise', 'Emotional Lady', 'Я все сказав...', 'Мила', 'Shake', 'Step By Step (Ballad Version)', 'Надя', 'Полонина Voices (Ethno Point-1)', 'Early (ethno Point-2)', 'Dana She Dana (Dj Sukhoi Remix)', 'Hey You']"
