artist,artist_listeners,artist_scrobbles,artist_tags
Океан Ельзи,"203,060","13,552,898","['rock', 'ukrainian', 'ukrainian rock', 'indie', 'pop-rock', 'pop rock', 'alternative rock']"
Go_A,"189,946","4,088,960","['ukrainian', 'folktronica', 'folk', 'electronic', 'ukraine', 'eurovision', 'pop', 'psytrance']"
Бумбокс,"174,374","6,424,069","['ukrainian', 'funk', 'reggae', 'hip-hop', 'funky-groove', 'sad', 'pop', 'russian']"
Скрябін,"59,090","2,821,158","['ukrainian', 'synthpop', 'pop-rock', 'electronic', 'synth pop', 'rock', 'pop rock']"
KALUSH,"106,178","1,850,491","['ukrainian', 'rap', 'hip-hop', 'ukraine', 'eurovision', 'hip hop', 'folk']"
glichery,"148,820","1,759,704","['phonk', 'ukrainian', 'electronic']"
The Hardkiss,"53,408","2,134,936","['ukrainian', 'electronic', 'dance', 'alternative rock', 'electronica', 'pop', 'alternative']"
alyona alyona,"91,289","1,677,579","['ukrainian', 'rap', 'hip-hop', 'hip hop', 'trap', 'ukraine']"
Poshlaya Molly,"51,152","1,584,549","['ukraine', 'ukrainian', 'electronic', 'dance-punk', 'synth-pop', 'ukr', 'synth-punk', 'pop punk', 'pornhub', 'russian language', 'drugs', 'debut album']"
Valentin Strykalo,"63,809","1,395,989","['garage rock', 'ukrainian', 'acoustic', 'indie rock', 'pop-punk', 'shoegaze', 'zaporizhzhia', 'russian', 'rock', 'ukraine']"
AShamaluevMusic,"17,615","1,300,845","['happy music', 'pop music', 'rock music', 'sad music', 'relaxing music', 'childrens music', 'piano music', 'ambient music', 'motivational music', 'christmas music']"
Mykola Dmytrovych Leontovych,"330,278","1,224,050","['ukrainian', 'folk', 'christmas', 'classical', 'post-romantic', 'liszaj radio', 'ilg', 'christmas songs']"
daKooka,"62,381","1,197,228","['ukrainian', 'female vocalists', 'singer-songwriter', 'indie', 'russian', 'baroque pop']"
Океан Ельзи,"203,060","13,552,898","['rock', 'ukrainian', 'ukrainian rock', 'indie', 'pop-rock', 'pop rock', 'alternative rock']"
Kazka,"58,150","1,103,443","['ukrainian', 'pop', 'ukraine', 'indie pop', 'electronic']"
Lama,"70,056","1,537,189","['punk', 'ukrainian', 'hardcore punk', 'finnish punk', 'finnish', 'pop-rock', 'pop', 'japanese', 'anime', 'rock', 'synthpop', 'italo disco']"
Pencil Legs,"98,454","878,329","['ukrainian', 'lo-fi', 'soft rock', 'indie', 'indie rock', 'acoustic', 'indie pop']"
Один В Каное,"30,398","1,146,448","['ukrainian', 'indie', 'folk', 'female vocal', 'female vocalists', 'odin v kanoe']"
Сметана band,"25,265","883,463","['rock', 'alternative', 'comedy', 'pop rock', 'pop-punk']"
O.Torvald,"33,252","1,122,372","['ukrainian', 'pop-punk', 'alternative rock', 'pop punk', 'alternative', 'rock', 'pop rock']"
4Wheel,"99,652","756,881","['drift phonk', 'ukraine', 'ukrainian', 'phonk']"
