title,artist,albums,albums_filtered,main_album
Без бою,Океан Ельзи,"['1221', 'Gloria']","['1221', 'Gloria']",Gloria
Обійми,Океан Ельзи,"['Земля', 'Обійми']",['Земля'],Земля
Не питай,Океан Ельзи,"['1221', 'Gloria']","['1221', 'Gloria']",Gloria
Коли тебе нема,Океан Ельзи,"['Янанебібув', 'The Best Of']",['Янанебібув'],Янанебібув
911,Океан Ельзи,"['Модель', 'The Best Of']",['Модель'],Модель
Вище неба,Океан Ельзи,"['1221', 'Gloria']","['1221', 'Gloria']",Gloria
Вставай,Океан Ельзи,"['Модель', '1221']","['1221', 'Модель']",Модель
Майже весна,Океан Ельзи,"['1221', 'Суперсиметрія']","['1221', 'Суперсиметрія']",Суперсиметрія
Той день,Океан Ельзи,"['Янанебібув', '1221']","['1221', 'Янанебібув']",Янанебібув
Холодно,Океан Ельзи,"['1221', 'Суперсиметрія']","['1221', 'Суперсиметрія']",Суперсиметрія
Все буде добре,Океан Ельзи,"['Міра', 'The Best Of']",['Міра'],Міра
Відпусти,Океан Ельзи,"['Янанебібув', '1221']","['1221', 'Янанебібув']",Янанебібув
На небі,Океан Ельзи,['Земля'],['Земля'],Земля
Кавачай,Океан Ельзи,"['Янанебібув', 'Я на небі був']",['Янанебібув'],Янанебібув
Стріляй,Океан Ельзи,"['Земля', 'Стріляй']",['Земля'],Земля
Сосни,Океан Ельзи,"['Янанебібув', 'The Best Of']",['Янанебібув'],Янанебібув
"Там, де нас нема",Океан Ельзи,"['1221', 'Там, де нас нема']","['1221', 'Там, де нас нема']","Там, де нас нема"
Коко шанель,Океан Ельзи,"['Модель', 'The Best Of']",['Модель'],Модель
Для тебе,Океан Ельзи,"['Суперсиметрія', 'The Best Of']",['Суперсиметрія'],Суперсиметрія
Більше для нас,Океан Ельзи,"['Dolce Vita', 'The Best Of']",['Dolce Vita'],Dolce Vita
На лінії вогню,Океан Ельзи,"['Dolce Vita', 'Dolce Vita (Remastered)']",['Dolce Vita'],Dolce Vita
Я до тебе,Океан Ельзи,"['Модель', 'Самое лучшее']",['Модель'],Модель
Rendez-Vous,Океан Ельзи,"['Земля', 'Избранное']",['Земля'],Земля
Квiтка,Океан Ельзи,"['Найкраще', 'найкраще']",[],Other
Susy,Океан Ельзи,"['Суперсиметрія', 'Суперсиметрия']",['Суперсиметрія'],Суперсиметрія
Мене,Океан Ельзи,"['Суперсиметрія', 'Суперсиметрия']",['Суперсиметрія'],Суперсиметрія
Відчуваю,Океан Ельзи,"['Gloria', 'The Best Of']",['Gloria'],Gloria
Поясни,Океан Ельзи,"['Янанебібув', 'Tviй Формат']","['Tviй Формат', 'Янанебібув']",Tviй Формат
Незалежність,Океан Ельзи,['Земля'],['Земля'],Земля
Стіна,Океан Ельзи,['Земля'],['Земля'],Земля
"Така, як ти",Океан Ельзи,[],[],Other
З нею,Океан Ельзи,"['Земля', 'Избранное']",['Земля'],Земля
Dolce vita,Океан Ельзи,"['Dolce Vita', 'Dolce Vita (Remastered)']",['Dolce Vita'],Dolce Vita
Пташка,Океан Ельзи,"['Міра', 'Избранное']",['Міра'],Міра
Зелені очі,Океан Ельзи,"['Міра', 'The Best Of']",['Міра'],Міра
Етюд,Океан Ельзи,"['Янанебібув', 'Tviй Формат']","['Tviй Формат', 'Янанебібув']",Tviй Формат
Не можу без тебе,Океан Ельзи,['Міра'],['Міра'],Міра
Йду на дно,Океан Ельзи,"['1221', 'Там, де нас нема']","['1221', 'Там, де нас нема']","Там, де нас нема"
З тобою,Океан Ельзи,"['Dolce Vita', 'Dolce Vita (Remastered)']",['Dolce Vita'],Dolce Vita
Ти і я,Океан Ельзи,"['Gloria', '100 лучших песен']",['Gloria'],Gloria
Ніколи,Океан Ельзи,"['Gloria', '100 лучших песен']",['Gloria'],Gloria
Не твоя війна,Океан Ельзи,"['Без меж', 'Не твоя війна']",['Без меж'],Other
Онлайн,Океан Ельзи,"['Dolce Vita', 'The Best Of']",['Dolce Vita'],Dolce Vita
SHUM,Go_A,"['Eurovision Song Contest Rotterdam 2021', 'SHUM - Single']",[],Other
Solovey,Go_A,"['Solovey - Single', 'Solovey']",[],Other
Шум,Go_A,"['Шум', 'Шум - Single']",[],Other
Веснянка,Go_A,"['#Ідиназвук', 'Spring Music Hits 2017 (Best Woman Voices)']",[],Other
Kalyna,Go_A,"['Kalyna - Single', 'Kalyna']",[],Other
Жальменiна,Go_A,[],[],Other
Рано-раненько,Go_A,"['Лечу на море', 'Рано-раненько']",[],Other
