title,artist,merged_album
Без бою,Океан Ельзи,Gloria
Обійми,Океан Ельзи,Земля
Не питай,Океан Ельзи,Gloria
Коли тебе нема,Океан Ельзи,Янанебібув
911,Океан Ельзи,Модель
Вище неба,Океан Ельзи,Gloria
Вставай,Океан Ельзи,Модель
Майже весна,Океан Ельзи,Суперсиметрія
Той день,Океан Ельзи,Янанебібув
Холодно,Океан Ельзи,Суперсиметрія
Все буде добре,Океан Ельзи,Міра
Відпусти,Океан Ельзи,Янанебібув
На небі,Океан Ельзи,Земля
Кавачай,Океан Ельзи,Янанебібув
Стріляй,Океан Ельзи,Земля
Сосни,Океан Ельзи,Янанебібув
"Там, де нас нема",Океан Ельзи,"Там, де нас нема"
Коко шанель,Океан Ельзи,Модель
Для тебе,Океан Ельзи,Суперсиметрія
Більше для нас,Океан Ельзи,Dolce vita
На лінії вогню,Океан Ельзи,Dolce vita
Я до тебе,Океан Ельзи,Модель
Rendez-Vous,Океан Ельзи,Земля
Квiтка,Океан Ельзи,
Susy,Океан Ельзи,Суперсиметрія
Мене,Океан Ельзи,Суперсиметрія
Відчуваю,Океан Ельзи,Gloria
Поясни,Океан Ельзи,Янанебібув
Незалежність,Океан Ельзи,Земля
Стіна,Океан Ельзи,Земля
"Така, як ти",Океан Ельзи,
З нею,Океан Ельзи,Земля
Dolce vita,Океан Ельзи,Dolce vita
Пташка,Океан Ельзи,Міра
Зелені очі,Океан Ельзи,Міра
Етюд,Океан Ельзи,Янанебібув
Не можу без тебе,Океан Ельзи,Міра
Йду на дно,Океан Ельзи,"Там, де нас нема"
З тобою,Океан Ельзи,Dolce vita
Ти і я,Океан Ельзи,Gloria
Ніколи,Океан Ельзи,Той день
Не твоя війна,Океан Ельзи,Без меж
Онлайн,Океан Ельзи,Dolce vita
SHUM,Go_A,
Solovey,Go_A,Solovey
Шум,Go_A,
Веснянка,Go_A,#Ідиназвук
Kalyna,Go_A,
Жальменiна,Go_A,#Ідиназвук
Рано-раненько,Go_A,Рано-раненько
Сонце,Go_A,#Ідиназвук
Кольоровими фарбами,Go_A,#Ідиназвук
Rusalochki,Go_A,
Вогнi,Go_A,#Ідиназвук
Небо в долонях,Go_A,#Ідиназвук
Намалюй,Go_A,#Ідиназвук
SHUM - Dj NANA Remix,Go_A,
Добрим людям на здоров’я,Go_A,КОЛЯДКИ
Dumala,Go_A,Dumala
Shum - Billx remix,Go_A,
Iди на звук,Go_A,#Ідиназвук
Krip,Go_A,Krip
Повернись,Go_A,#Ідиназвук
Намалюй - Акустична Версія,Go_A,#Ідиназвук
Шум - Radio Edit,Go_A,
SHUM - Instrumental Version,Go_A,
Соловей,Go_A,
