artist,album,num_tracks,album_length,release_date,listeners,scrobbles,tags,tracks
Океан Ельзи,1221,21,,7 December 2006,"29,753","426,580","['rock', 'alternative', 'rock', 'ukrainian', 'ukrainian rock']","['Long Time Ago', 'Вона підійшла до вікна', 'Там, де нас нема', 'Поїзд «чужа любов»', 'Йду на дно', 'Янанебібув', 'Той день', 'Відпусти', 'Ото була весна', 'Вставай', 'Друг ч.1', 'Друг (ч.2)', 'Вулиця', '911 (тихий океан)', 'Майже весна', 'Холодно', 'Дівчина з іншого життя', 'Без бою', 'Відчуваю (версія-2)', 'Вище неба', 'Не питай']"
Океан Ельзи,Gloria,12,42:40,22 September 2005,"42,098","820,164","['ukrainian', 'rock', '2005', 'progressive rock', 'pop rock', 'rock', 'ukrainian', 'ukrainian rock']","['Перша пісня', 'Ти і я', 'Вище неба', 'Сонце сідає', 'Ніколи', 'Тінь твого тіла', 'Без бою', 'GLORIA', 'Відчуваю', 'Ікони не плачуть', 'Як останній день', 'Не питай']"
Океан Ельзи,Земля,12,49:12,15 May 2013,"37,712","926,525","['rock', 'ukrainian', '2013', 'pop rock', 'pop-rock', 'rock', 'ukrainian', 'ukrainian rock']","['З нею', 'Стіна', 'Бодегіта', 'Незалежність', 'Rendez-Vous', 'Стріляй', 'Обійми', 'Караван', 'Джульєтта', 'На небі', 'Пори року', 'Коли навколо ні душі…']"
Океан Ельзи,Обійми,1,3:44,14 February 2013,"2,539","8,181","['rock', 'ukrainian', 'ukrainian rock', 'indie', 'pop-rock', 'rock', 'ukrainian', 'ukrainian rock']",['Обійми']
Океан Ельзи,Янанебібув,11,42:48,21 February 2000,"43,299","901,263","['ukrainian', 'indie', 'pop rock', 'brit-pop', 'ukraine', 'rock', 'ukrainian', 'ukrainian rock']","['Янанебібув', 'Той день', 'Мало менi', 'Сосни', 'Кавачай', 'Відпусти', 'Африка', 'Поясни', 'Фіалки', 'Коли тебе нема', 'Етюд']"
Океан Ельзи,The Best Of,21,78:50,6 August 2010,"15,088","231,409","['rock', 'ukrainian', 'ukrainian rock', 'indie', 'pop-rock', 'rock', 'ukrainian', 'ukrainian rock']","['Я так хочу...', 'Все буде добре', 'Без бою', 'Майже весна', 'Вставай', 'Той день', 'Більше для нас', 'Хочу напитись тобою', 'Вище неба', 'Для тебе', '911', 'Коли тебе нема', 'Онлайн', 'Зелені очі', 'Відчуваю', 'Кішка', 'Сосни', 'Як довго', 'Коко шанель', 'Там, де нас нема', 'Не питай']"
Океан Ельзи,Модель,11,41:16,31 January 2001,"41,064","1,033,422","['ukrainian', '2001', 'fav', 'ukraine', '2000s', 'rock', 'ukrainian', 'ukrainian rock']","['911', 'Я до тебе', 'Друг ч.1', 'Друг ч.2', 'Ти собі сама', 'Квітка', 'Вставай', ""Isn't it сон"", 'Коко шанель', 'Сьогодні', 'Вулиця (може все не так)']"
Океан Ельзи,Суперсиметрія,11,42:25,12 March 2003,"31,043","777,775","['ukrainian', 'rock', 'pop rock', '2003', 'ukraine', 'rock', 'ukrainian', 'ukrainian rock']","['Кішка', 'Дівчина (з іншого життя)', 'Вільний', 'Susy', 'Мене', 'Для тебе', 'Леді', 'Майже весна', 'Холодно', 'Віддам', ""Невидима сім'я""]"
Океан Ельзи,Міра,12,40:55,25 April 2007,"19,649","293,725","['ukrainian', 'classic rock', 'russian rock', 'post-punk revival', '2007', 'rock', 'ukrainian', 'ukrainian rock']","['Міра', 'День у день', 'Хочу напитись тобою', 'Пташка', 'Зелені очі', 'Коли тобі важко', 'Як довго', 'Не можу без тебе', 'Лелеки', 'Ночі і дні', 'Все буде добре', 'Моя мала']"
Океан Ельзи,Я на небі був,12,46:28,14 March 2000,"2,694","56,593","['rock', 'ukrainian', 'ukrainian rock', 'indie', 'pop-rock', 'rock', 'ukrainian', 'ukrainian rock']","['Я на небі був', 'Той день', 'Мало менi', 'Сосни', 'Кавачай', 'Вiдпусти', 'Африка', 'Поясни', 'Фiалки', 'Коли Тебе Нема', 'Етюд', 'Там де нас нема']"
Океан Ельзи,Стріляй,1,4:51,18 April 2013,243,811,"['rock', 'ukrainian', 'ukrainian rock', 'indie', 'pop-rock', 'rock', 'ukrainian', 'ukrainian rock']",['Стріляй']
Океан Ельзи,"Там, де нас нема",15,54:36,14 September 1998,"26,976","583,827","['ukrainian', 'rock', 'indie', 'brit-pop', 'ukraine', 'rock', 'ukrainian', 'ukrainian rock']","['Новий день', 'Там, де нас нема', 'Голос твій', 'Позич мені сонце', 'Тадж-махал', 'Сумна мелодія', 'Поїзд ""чужа любов""', 'Йду на дно', 'Вісім', 'Ластівка з мого міста', 'Ти забула давно', 'Long Time Ago', 'Колиска вітру', 'Годі вже', 'Там, де нас нема (Remix)']"
Океан Ельзи,Dolce Vita,14,56:44,10 March 2010,"41,867","990,163","['ukrainian', '2010', 'indie', 'pop-rock', 'ukraine', 'rock', 'ukrainian', 'ukrainian rock']","['Онлайн', 'Небо над дніпром', 'Надя', 'Я так хочу…', 'На лінії вогню', 'Більше для нас', 'Ордени', 'З тобою', 'Ще один день', 'Королева', '18 хвилин', 'Компас', 'Dolce vita', 'Ой, чий там кінь стоїть (народна пісня)']"
Океан Ельзи,Dolce Vita (Remastered),14,56:45,1 December 2010,"3,341","93,743","['2010', 'rock', 'ukrainian', 'ukrainian rock']","['Онлайн', 'Небо над дніпром', 'Надя', 'Я так хочу...', 'На лінії вогню', 'Більше для нас', 'Ордени', 'З тобою', 'Ще один день', 'Королева', '18 хвилин', 'Компас', 'Dolce vita', 'Ой, чий там кінь стоїть']"
Океан Ельзи,Самое лучшее,22,82:04,25 May 2002,930,"4,410","['rock', 'ukrainian', 'ukrainian rock', 'indie', 'pop-rock', 'rock', 'ukrainian', 'ukrainian rock']","['Там, де нас нема', '911', 'Я до тебе', 'Ти собі сама', 'Коко шанель', 'Квітка', 'Позич мені сонце', 'Ластівка з мого міста', 'Я на небі був', 'Той день', 'Мало менi', 'Сосни', 'Кавачай', 'Відпусти', 'Коли тебе нема', 'Фіалки', ""Isn't сон"", 'Голос твій', 'Етюд', 'Друг ч.1', 'Друг ч.2', 'Сьогодні']"
Океан Ельзи,Избранное,40,159:09,26 September 2013,"1,746","38,580","['rock', 'ukrainian', 'ukrainian rock', 'indie', 'pop-rock', 'rock', 'ukrainian', 'ukrainian rock']","['Там, де нас нема', '911', 'Без бою', 'Сосни', '18 хвилин', 'Онлайн', 'Позич мені сонце', 'Новий день', 'Кавачай', 'Майже весна', 'Коко шанель', 'Більше для нас', 'Той день', 'Стрiляй', 'Ти собі сама', 'З нею', 'Вище неба', 'Кішка', 'Я так хочу...', 'Надя (Бонус-трек)', 'Вiдпусти', 'Мало менi', 'Susy', 'Rendez-Vous', 'На лінії вогню', 'Дівчина (з iншого життя)', 'Ночі і дні', 'Квітка', 'Холодно', 'Друг', 'Сьогодні', 'Пташка', 'Голос твій', 'На небi', 'Не питай', 'Небо над днiпром', 'Dolce vita', 'Компас', 'Обiйми', 'Ще один день (Бонус-трек)']"
Океан Ельзи,Найкраще,34,135:05,2014,886,"40,058","['rock', 'ukrainian', 'ukrainian rock', 'indie', 'pop-rock', 'rock', 'ukrainian', 'ukrainian rock']","['Там де нас нема', 'Ластiвка З Твого Мiста', 'Той день', 'Мало менi', 'Сосни', 'Вiдпусти', '911', 'Я до тебе', 'Друг', 'Ти собi сама', 'Квiтка', 'Вставай', ""Isn't it сон"", 'Коко шанель', 'Кiшка', 'Дiвчина (з iншого життя)', 'Для тебе', 'Майже весна', 'Холодно', 'Вище неба', 'Без бою', 'Вiдчуваю', 'Не питай', 'Зеленi очi', 'Я їду додому', 'Все буде добре', 'Я так хочу...', 'Бiльше для нас', 'Dolce vita', 'Rendez-Vous', 'Стрiляй', 'Обiйми', 'Джульєта', 'На небi']"
Океан Ельзи,найкраще,34,135:05,2014,886,"40,058","['rock', 'ukrainian', 'ukrainian rock', 'indie', 'pop-rock', 'rock', 'ukrainian', 'ukrainian rock']","['Там де нас нема', 'Ластiвка З Твого Мiста', 'Той день', 'Мало менi', 'Сосни', 'Вiдпусти', '911', 'Я до тебе', 'Друг', 'Ти собi сама', 'Квiтка', 'Вставай', ""Isn't it сон"", 'Коко шанель', 'Кiшка', 'Дiвчина (з iншого життя)', 'Для тебе', 'Майже весна', 'Холодно', 'Вище неба', 'Без бою', 'Вiдчуваю', 'Не питай', 'Зеленi очi', 'Я їду додому', 'Все буде добре', 'Я так хочу...', 'Бiльше для нас', 'Dolce vita', 'Rendez-Vous', 'Стрiляй', 'Обiйми', 'Джульєта', 'На небi']"
Океан Ельзи,Суперсиметрия,11,42:25,12 March 2003,"31,043","777,775","['rock', 'ukrainian', 'ukrainian rock', 'indie', 'pop-rock', 'rock', 'ukrainian', 'ukrainian rock']","['Кішка', 'Дівчина (з іншого життя)', 'Вільний', 'Susy', 'Мене', 'Для тебе', 'Леді', 'Майже весна', 'Холодно', 'Віддам', ""Невидима сім'я""]"
Океан Ельзи,Tviй Формат,12,45:19,2003,"10,517","245,992","['ukrainian', 'russian rock', 'rock', 'ukrainian', 'ukrainian rock']","['Дiвчина (із іншого життя)', 'Мало менi', 'Холодно', 'Поясни', 'Етюд', 'Сосни', 'Мене', 'Для тебе', ""Невидима сiм'я"", 'Ото була весна', 'Вiддам', 'Я їду додому']"
Океан Ельзи,Без меж,11,,18 May 2016,"13,054","275,125","['rock', 'ukrainian', 'ukraine', 'ukrainian rock', '2016', 'rock', 'ukrainian', 'ukrainian rock']","['Віддай мені (Свою любов)', 'Не йди', 'Джерело', 'Сонце', 'Мить', 'Не твоя війна', 'Еверест', 'Хтось в небо летить', 'Життя починається знов', 'Осінь', 'Без меж']"
Океан Ельзи,Не твоя війна,1,4:27,31 August 2015,"2,734","12,099","['rock', 'ukrainian', 'ukrainian rock', 'indie', 'pop-rock', 'rock', 'ukrainian', 'ukrainian rock']",['Не твоя війна']
Go_A,Eurovision Song Contest Rotterdam 2021,,,,138,"1,729","['ukrainian', 'folktronica', 'folk', 'electronic', 'ukraine', 'ukrainian', 'folktronica', 'folk']",[]
Go_A,SHUM - Single,1,2:52,4 August 2021,"2,109","41,191","['ukrainian', 'folktronica', 'folk', 'electronic', 'ukraine', 'ukrainian', 'folktronica', 'folk']",['SHUM']
Go_A,Solovey - Single,2,5:52,4 March 2020,640,"8,161","['ukrainian', 'folktronica', 'folk', 'electronic', 'ukraine', 'ukrainian', 'folktronica', 'folk']","['Solovey', 'Solovey (Instrumental Version)']"
Go_A,Solovey,2,5:52,16 December 2021,"39,867","403,092","['eurovision', 'eurovision song contest', 'eurovision 2020', 'esc', 'ukrainian', 'ukrainian', 'folktronica', 'folk']","['Solovey', 'Solovey (Instrumental Version)']"
Go_A,Шум,1,3:02,21 January 2021,"38,328","336,595","['folk', 'electronic', 'folktronica', 'ebm', 'full-on psytrance', 'ukrainian', 'folktronica', 'folk']",['Шум']
Go_A,Шум - Single,1,3:02,22 January 2021,929,"9,087","['folk', 'electronic', 'folktronica', 'ebm', 'full-on psytrance', 'ukrainian', 'folktronica', 'folk']",['Шум']
Go_A,#Ідиназвук,,,"Kyïv, Ukraine","192,802","4,146,372","['ukrainian', 'folktronica', 'folk', 'electronic', 'ukraine']","['SHUM', 'Solovey', 'Шум', 'Kalyna', 'Rusalochki', 'Жальменiна', 'Dumala', 'Веснянка', 'Krip', 'Рано-раненько']"
Go_A,Spring Music Hits 2017 (Best Woman Voices),,,,54,322,"['ukrainian', 'folktronica', 'folk', 'electronic', 'ukraine', 'ukrainian', 'folktronica', 'folk']",[]
Go_A,Kalyna - Single,1,3:06,18 March 2022,284,"2,534","['ukrainian', 'folktronica', 'folk', 'electronic', 'ukraine', 'ukrainian', 'folktronica', 'folk']",['Kalyna']
Go_A,Kalyna,1,3:06,18 March 2022,"19,482","198,568","['ukrainian', 'folktronica', 'folk', 'electronic', 'ukraine', 'ukrainian', 'folktronica', 'folk']",['Kalyna']
