artist_id,artist_name,genres,followers,popularity
6NTzEgUmN1PIBIYEHhf1kS,Okean Elzy,,1094041,56
4kvCU3MzggM2piZCqvxj0x,Go_A,,212093,50
0gy5CrSPrOW5DjAFOgI8rM,Go-A,,64,0
5ctFffJBdJe8PZL7W7NeML,Fleshgod Apocalypse,"death metal, symphonic metal, melodic death metal, metal, deathcore",207481,45
2c3PFZtun8HemDbDfRPV6G,Boombox,,591413,57
4IJcztNtY5L7G3qK4yu1qt,The Hardkiss,,350931,43
6wbEgVlGqWb4I9tbMluu5Q,MONATIK,,757611,52
2ic3GGGmkixOZP4qnakSA8,alyona alyona,,240411,51
5fMNki1cAszN37EYRTVdOc,Odyn v Kanoe,,264321,44
4bIZE5XbGFjR4rT2VQPIHy,Druha Rika,,271869,38
6mQd5HeHhMBZK8u2bTCduH,Vivienne Mort,,96868,39
5qgeG4MsrfCsA6ETMyqprD,Vopli Vidopliassova,,73024,34
62V9PGJyCd8DyWyXSLzdpC,Мертвий півень,,28171,34
4WaVp1zaJJLMgohfXajlvr,Крихітка Цахес,,4972,24
2Reqc0B9PCsI6t78c9k11o,Zhadan i Sobaky,,221664,47
3Yb7JpWRRyTPLttO6AJBHb,Braty Hadiukiny,,35554,30
5peff0U7ooABvmRB2h3ADB,Брати Гадюкіни,,2887,17
4lkuCrbRHsGwfVR916oqsM,The Unsleeping,,34813,39
11sIz9STeD6yVSuBaD8nMW,Artem Pivovarov,,682730,50
4AupETQEHkWQL9H3O6f9h8,СТРУКТУРА ЩАСТЯ,,105443,48
2ojY7fXJxZQhg8Rx5e8h9G,SadSvit,post-punk,368125,57
2bkZ1uaI06UpTuDchPk8bE,Апатія,,14816,34
4rOBmdIdNqYrYSRea6iYrh,Sad Novelist,post-punk,43428,39
6C60iqeAUNMFlv7guRe4tS,Dymna Sumish,,13010,24
5BwbVAdT6rFF2vGVE8su2y,Klavdia Petrivna,,288825,56
58UBmhZzNl22EI94dh9Gx0,OSTY,,23999,49
4IGHF22vbC33ColRBUHIXd,Tember Blanche,,39947,42
5lLVx3mMyUvZ9QKzM09CZa,Khrystyna Soloviy,,309628,49
3MtohoQqvZFtmRTwzp0xSH,dity inzheneriv,,45222,43
2sdWfIbu9rLQ0p7MULuhxC,хейтспіч,,72044,45
4w8RbPbs4n3ceag62qvMl2,PROBASS ∆ HARDI,g-house,39820,34
7c0Zr31rQDF05OTY32tLq1,GARNA,,123,1
