title,artist,spotify_artist,track_id,artist_id,duration_ms,track_popularity,album_id,album_name,album_release_date,total_tracks
Без бою,Океан Ельзи,Okean Elzy,0Y5i43d7YtHWyYulOojDXP,6NTzEgUmN1PIBIYEHhf1kS,259896,52,53GqKgF0wipcbZsacXJTMR,Gloria,2005,12
Обійми,Океан Ельзи,Okean Elzy,5561HkcMU0A4i3D6Tlsxhe,6NTzEgUmN1PIBIYEHhf1kS,224111,51,0KS4481ykVKBbjIsxlvyyN,Земля,2013-05-15,12
Не питай,Океан Ельзи,Okean Elzy,3CQHvXdYWhyhCZ0YnOrH3g,6NTzEgUmN1PIBIYEHhf1kS,157376,40,53GqKgF0wipcbZsacXJTMR,Gloria,2005,12
Коли тебе нема,Океан Ельзи,Okean Elzy,2mgX6BJB1HLOUz4RIUJyW3,6NTzEgUmN1PIBIYEHhf1kS,197870,44,6G88Fi3Xa2MGwUTjuS23oh,Янанебібув,2000-02-21,11
911,Океан Ельзи,Okean Elzy,1oD1YaA7KktOlqgPfFjopL,6NTzEgUmN1PIBIYEHhf1kS,209030,44,6lslJRTbrZBqVaBG0L0SFC,Модель,2001-04-20,11
Вище неба,Океан Ельзи,Okean Elzy,350O0IzOX3S59Khf4XXxj7,6NTzEgUmN1PIBIYEHhf1kS,239203,37,53GqKgF0wipcbZsacXJTMR,Gloria,2005,12
Вставай,Океан Ельзи,Okean Elzy,4qOqCS98mgybLdkTf3REWQ,6NTzEgUmN1PIBIYEHhf1kS,174590,41,6lslJRTbrZBqVaBG0L0SFC,Модель,2001-04-20,11
Майже весна,Океан Ельзи,Okean Elzy,0F97YsO58Kts0BrOGeipiQ,6NTzEgUmN1PIBIYEHhf1kS,251670,48,0fvbAfSSON5joBFSgnLlMN,Суперсиметрія,2003-03-12,11
Той день,Океан Ельзи,Okean Elzy,5kjfunxvCYjM08E4L0WCwv,6NTzEgUmN1PIBIYEHhf1kS,235726,45,2fmWQZzYIgO9Ts6aTdqqL2,Той день (OE30 edition),2024-08-09,1
Холодно,Океан Ельзи,Okean Elzy,3q7fKo3iPXyH5Oa8VMmHNa,6NTzEgUmN1PIBIYEHhf1kS,272763,30,0fvbAfSSON5joBFSgnLlMN,Суперсиметрія,2003-03-12,11
Все буде добре,Океан Ельзи,Okean Elzy,5vctnkniVZ18QOdlLC6AK9,6NTzEgUmN1PIBIYEHhf1kS,190736,45,2b7HCIhX7UzMknqHPMXTX9,Міра,2007-04-25,12
Відпусти,Океан Ельзи,Okean Elzy,1NsX0urQW125suoWTAb8c3,6NTzEgUmN1PIBIYEHhf1kS,232403,46,6G88Fi3Xa2MGwUTjuS23oh,Янанебібув,2000-02-21,11
На небі,Океан Ельзи,Okean Elzy,307BZpDAtO3OwRs2wrV1S9,6NTzEgUmN1PIBIYEHhf1kS,221635,54,0KS4481ykVKBbjIsxlvyyN,Земля,2013-05-15,12
Кавачай,Океан Ельзи,Okean Elzy,0UnMWAvEE3a1Dw17gRINDF,6NTzEgUmN1PIBIYEHhf1kS,279870,39,6G88Fi3Xa2MGwUTjuS23oh,Янанебібув,2000-02-21,11
Стріляй,Океан Ельзи,Okean Elzy,2zd09UTekGJEHtc1mt7qkf,6NTzEgUmN1PIBIYEHhf1kS,288701,43,0KS4481ykVKBbjIsxlvyyN,Земля,2013-05-15,12
Сосни,Океан Ельзи,Okean Elzy,5KiGsTkfN86b6oEyzLJ0uS,6NTzEgUmN1PIBIYEHhf1kS,271670,35,6G88Fi3Xa2MGwUTjuS23oh,Янанебібув,2000-02-21,11
"Там, де нас нема",Океан Ельзи,Okean Elzy,0GK24qA5JJJoTzcv2VIyNF,6NTzEgUmN1PIBIYEHhf1kS,212963,47,2R1cAgOVZUXkBux5iLiYUJ,"Там, де нас нема",1998-09-14,15
Коко шанель,Океан Ельзи,Okean Elzy,5q3VKz3cUXbrDW1LZ25dWr,6NTzEgUmN1PIBIYEHhf1kS,235710,38,6lslJRTbrZBqVaBG0L0SFC,Модель,2001-04-20,11
Для тебе,Океан Ельзи,Okean Elzy,5Z3PZYra9nxPby6XIgRE2R,6NTzEgUmN1PIBIYEHhf1kS,233363,32,0fvbAfSSON5joBFSgnLlMN,Суперсиметрія,2003-03-12,11
Більше для нас,Океан Ельзи,Okean Elzy,018YpDWBo5HaPmPPIOS6jE,6NTzEgUmN1PIBIYEHhf1kS,210095,35,54pBp6QcdpNiYS1yyauiq8,Dolce vita,2010-03-10,14
На лінії вогню,Океан Ельзи,Okean Elzy,7EtYWogE1QC9DO1Ip618SA,6NTzEgUmN1PIBIYEHhf1kS,181075,47,54pBp6QcdpNiYS1yyauiq8,Dolce vita,2010-03-10,14
Я до тебе,Океан Ельзи,Okean Elzy,5ho3EKZow2kqAuCmJ3uZjH,6NTzEgUmN1PIBIYEHhf1kS,287550,30,6lslJRTbrZBqVaBG0L0SFC,Модель,2001-04-20,11
Rendez-Vous,Океан Ельзи,Okean Elzy,4eTYMTsr0q0RRUIpdqthZj,6NTzEgUmN1PIBIYEHhf1kS,251072,50,0KS4481ykVKBbjIsxlvyyN,Земля,2013-05-15,12
