artist,artist_listeners,artist_scrobbles,artist_tags
Океан Ельзи,203060.0,13552898.0,"['rock', 'ukrainian', 'ukrainian rock', 'indie', 'pop-rock', 'pop rock', 'alternative rock']"
Go_A,189946.0,4088960.0,"['ukrainian', 'folktronica', 'folk', 'electronic', 'ukraine', 'eurovision', 'pop', 'psytrance']"
Бумбокс,174374.0,6424069.0,"['ukrainian', 'funk', 'reggae', 'hip-hop', 'funky-groove', 'sad', 'pop', 'russian']"
Скрябін,59090.0,2821158.0,"['ukrainian', 'synthpop', 'pop-rock', 'electronic', 'synth pop', 'rock', 'pop rock']"
KALUSH,106178.0,1850491.0,"['ukrainian', 'rap', 'hip-hop', 'ukraine', 'eurovision', 'hip hop', 'folk']"
The Hardkiss,53408.0,2134936.0,"['ukrainian', 'electronic', 'dance', 'alternative rock', 'electronica', 'pop', 'alternative']"
alyona alyona,91289.0,1677579.0,"['ukrainian', 'rap', 'hip-hop', 'hip hop', 'trap', 'ukraine']"
Kazka,58150.0,1103443.0,"['ukrainian', 'pop', 'ukraine', 'indie pop', 'electronic']"
Lama,70056.0,1537189.0,"['punk', 'ukrainian', 'hardcore punk', 'finnish punk', 'finnish', 'pop-rock', 'pop', 'japanese', 'anime', 'rock', 'synthpop', 'italo disco']"
Один В Каное,30398.0,1146448.0,"['ukrainian', 'indie', 'folk', 'female vocal', 'female vocalists', 'odin v kanoe']"
O.Torvald,33252.0,1122372.0,"['ukrainian', 'pop-punk', 'alternative rock', 'pop punk', 'alternative', 'rock', 'pop rock']"
Тартак,35856.0,1233300.0,"['ukrainian', 'rapcore', 'alternative', 'hip-hop', 'rock', 'ukrainian alternative', 'alternative rock']"
TVORCHI,56405.0,627532.0,"['pop', 'ukrainian', 'electronic', 'dance', 'ukraine', 'eurovision 2023', 'eurovision', 'eurovision song contest', 'esc']"
Друга Ріка,35782.0,1067376.0,"['ukrainian', 'pop-rock', 'rock', 'ukrainian rock', 'ukraine', 'pop rock', 'indie']"
Антитіла,27910.0,797277.0,"['ukrainian', 'pop-rock', 'rock', 'indie', 'alt rock', 'pop rock']"
Vivienne Mort,22011.0,703657.0,"['ukrainian', 'alternative rock', 'experimental', 'female vocalists', 'psychedelic', 'progressive rock', 'cabaret']"
Воплі Відоплясова,38626.0,824478.0,"['ukrainian', 'folk rock', 'rock', 'ukrainian rock', 'alternative', 'folk', 'folk-rock', 'ukranian text']"
Мертвий Півень,18521.0,722675.0,"['ukrainian', 'ukrainian rock', 'rock', 'folk-rock', 'ukraine', 'folk rock']"
Крихітка Цахес,33241.0,846575.0,"['ukrainian', 'female vocalists', 'pop-rock', 'indie', 'alternative', 'rock', 'pop rock']"
Брати Гадюкіни,12210.0,539724.0,"['ukrainian', 'rock', 'rock and roll', 'reggae', 'post-punk', 'blues', 'lviv']"
The Unsleeping,18052.0,298600.0,"['alternative rock', 'ukrainian', 'ukraine', 'post-rock', 'grunge', 'indie rock', 'indie', 'indie pop']"
Artem Pivovarov,12193.0,299741.0,"['ukraine', 'ukrainian', 'folk', 'pop', 'ukrainian pop', 'folk pop', 'russian pop']"
СТРУКТУРА ЩАСТЯ,11756.0,286545.0,"['electronic', 'indie pop', 'ukrainian', 'pop punk', 'hyperpop', 'deezer', 'upcoming album 2023', 'indie rock', 'dance', 'synthpop']"
Кому Вниз,11959.0,500665.0,"['ukrainian', 'gothic rock', 'gothic', 'folk', 'rock', 'folk rock', 'industrial']"
Димна Суміш,16390.0,492597.0,"['ukrainian', 'grunge', 'alternative', 'post-grunge', 'alternative rock', 'rock']"
Klavdia Petrivna,9797.0,227732.0,"['ukrainian', 'pop', 'electropop', 'dance', 'indie pop', 'female vocalists', 'folk-pop']"
Tember Blanche,11801.0,230584.0,"['ukrainian', 'indie', 'pop', 'beautiful', 'ethereal', 'ethereal wave', 'indie pop']"
Khrystyna Soloviy,14356.0,231195.0,"['pop', 'ukraine', 'ukrainian', 'folk pop', 'folk', 'indie pop', 'indie folk']"
dity inzheneriv,5724.0,218071.0,"['post-punk', 'ukrainian', 'alternative rock', 'alternative', 'indie rock', 'rock', 'indie']"
PROBASS ∆ HARDI,20926.0,219525.0,"['ukrainian', 'edm', 'ukraine', 'electronic', 'folktronica', 'dance', 'club']"
Плач Єремії,17246.0,378951.0,"['ukrainian', 'rock', 'ukrainian rock', 'poetry', 'alternative']"
Холодне Сонце,7614.0,336322.0,"['ukrainian', 'gothic rock', 'love metal', 'gothic', 'gothic love metal', 'gothic metal']"
Sad Novelist,10145.0,166962.0,"['post-punk', 'new wave', 'ukrainian', 'indie pop', 'indie rock', 'ukraine', 'ukrainian post-punk']"
Перкалаба,18715.0,318923.0,"['ukrainian', 'ska', 'folk', 'ethno-ska', 'folk-punk', 'ua', 'alternative', 'gypsy punk']"
Жадан і собаки,5128.0,155657.0,"['ukrainian', 'punk rock', 'ska punk', 'rock']"
Zlata Ognevich,13579.0,187101.0,"['ukrainian', 'eurovision', 'ukraine', 'pop', 'female vocalists', 'eurovision song contest']"
Mad Heads XL,11812.0,257366.0,"['ska', 'ukrainian', 'reggae', 'rock', 'ethnic', '2005', 'positive', 'ukrainian rock', 'folk rock', 'ska-punk', 'covers']"
Kalush Orchestra,17197.0,138659.0,"['ukrainian', 'rap', 'eurovision song contest', 'ukraine', 'pop', 'eurovision', 'esc', 'pop rap']"
Піккардійська Терція,10221.0,217476.0,"['ukrainian', 'a cappella', 'folk', 'acapella']"
BLOOMS CORDA,7465.0,134029.0,"['funk', 'ukrainian', 'lounge', 'pop', 'indie pop', 'ukranian', 'ukraine', 'sophisti-pop']"
Ницо Потворно,3871.0,126221.0,"['ukrainian', 'hip hop', 'rap', 'electronic', 'experimental', 'underground hip hop', 'ukraine']"
Фактично Самі,8390.0,258909.0,"['ukrainian', 'alternative', 'female vocalists', 'experimental', 'trip-hop', 'alternative rock', 'ukrainian alternative']"
