Epoch	train_cost	val_cost	epoch_time	learing_rate
1	nan	5.37653	30.1951s	0.0001
2	5.24379	5.35596	143.862s	0.0001
3	5.2203	5.34277	111.52s	0.0001
4	5.20491	5.33293	111.315s	0.0001
5	5.18639	5.33463	111.018s	0.0001
6	5.1647	5.31388	111.338s	0.0001
7	5.15074	5.2957	111.465s	0.0001
8	5.13239	5.28812	111.055s	0.0001
9	5.12372	5.28882	110.826s	0.0001
10	5.10814	5.27631	111.272s	0.0001
11	5.08221	5.29025	110.717s	0.0001
12	5.07416	5.24536	111.155s	0.0001
13	5.06148	5.26903	111.217s	0.0001
14	5.04784	5.25791	111.443s	0.0001
15	5.02532	5.23656	111.412s	0.0001
16	5.0077	5.23373	110.72s	0.0001
17	4.99555	5.23171	111.179s	0.0001
18	4.9763	5.21617	111.082s	0.0001
19	4.96756	5.22136	111.133s	0.0001
20	4.95185	5.19874	111.055s	0.0001
21	4.9373	5.22987	111.284s	0.0001
22	4.92461	5.17482	111.624s	0.0001
23	4.90563	5.16276	111.242s	0.0001
24	4.88941	5.16863	111.355s	0.0001
25	4.87485	5.14397	110.988s	0.0001
26	4.86601	5.15898	111.195s	0.0001
27	4.85187	5.14246	110.929s	0.0001
28	4.83839	5.17751	111.183s	0.0001
29	4.82446	5.1344	111.116s	0.0001
30	4.8114	5.11808	110.826s	0.0001
31	4.79775	5.13563	111.109s	0.0001
32	4.78056	5.12001	111.235s	0.0001
33	4.77582	5.11057	110.699s	0.0001
34	4.7494	5.11648	110.857s	0.0001
35	4.73865	5.10647	110.799s	0.0001
36	4.72309	5.10812	110.723s	0.0001
37	4.70904	5.09484	111.576s	0.0001
38	4.69804	5.06946	110.654s	0.0001
39	4.6832	5.10046	111.728s	0.0001
40	4.66318	5.04294	110.768s	0.0001
41	4.65532	5.03738	110.928s	0.0001
42	4.64055	5.04839	110.826s	0.0001
43	4.63634	5.04844	111.441s	0.0001
44	4.61708	5.03571	110.728s	0.0001
45	4.61077	5.01936	111.059s	0.0001
46	4.61411	5.04997	110.521s	0.0001
47	4.59083	5.05472	110.955s	0.0001
48	4.5682	4.99617	110.416s	0.0001
49	4.55468	4.9791	110.94s	0.0001
50	4.54185	4.99215	110.279s	0.0001
51	4.54193	5.02539	110.498s	0.0001
52	4.5115	4.96268	111.008s	0.0001
53	4.50829	5.00421	110.476s	0.0001
54	4.48909	4.9589	111.462s	0.0001
55	4.47018	4.96169	110.808s	0.0001
56	4.46935	4.95675	110.657s	0.0001
57	4.45197	4.93768	110.738s	0.0001
58	4.43646	4.95525	110.567s	0.0001
59	4.4329	4.92867	110.562s	0.0001
60	4.41746	4.92715	110.607s	0.0001
61	4.39654	4.9272	110.723s	0.0001
62	4.4128	4.89997	110.944s	0.0001
63	4.37724	4.91563	111.417s	0.0001
64	4.36881	4.90276	110.84s	0.0001
65	4.35215	4.88252	110.443s	0.0001
66	4.346	4.88331	110.822s	0.0001
67	4.34653	4.92783	110.409s	0.0001
68	4.32704	4.88235	110.861s	0.0001
69	4.30645	4.92833	111.709s	0.0001
70	4.29258	4.91098	111.93s	0.0001
71	4.28483	4.84922	111.329s	0.0001
72	4.264	4.87996	110.998s	0.0001
73	4.2585	4.84602	111.506s	0.0001
74	4.24174	4.8179	111.821s	0.0001
75	4.23339	4.80949	110.673s	0.0001
