Epoch	train_cost	val_cost	epoch_time	learing_rate
1	nan	0.804302	6.61144s	1e-05
2	0.893133	0.674947	122.328s	1e-05
3	0.877367	0.750765	106.221s	1e-05
4	0.864604	0.726058	106.527s	1e-05
5	0.85638	0.725754	106.029s	1e-05
6	0.83997	0.706747	105.975s	1e-05
7	0.828933	0.696264	106.566s	1e-05
8	0.822254	0.695148	106.135s	1e-05
9	0.811153	0.697797	106.068s	1e-05
10	0.799053	0.69073	106.267s	1e-05
11	0.784499	0.688365	106.193s	1e-05
12	0.778328	0.661105	106.111s	1e-05
13	0.769419	0.646987	106.227s	1e-05
14	0.759075	0.638931	106.278s	1e-05
15	0.743323	0.625135	106.005s	1e-05
16	0.736322	0.616123	106.239s	1e-05
17	0.729151	0.610831	105.867s	1e-05
18	0.718887	0.605397	105.69s	1e-05
19	0.704991	0.598072	106.022s	1e-05
20	0.702603	0.589627	105.824s	1e-05
21	0.687162	0.587116	106.031s	1e-05
22	0.679592	0.579394	105.971s	1e-05
23	0.671105	0.571633	106.076s	1e-05
24	0.667943	0.563227	105.977s	1e-05
25	0.654921	0.564794	106.223s	1e-05
26	0.646089	0.550622	105.837s	1e-05
27	0.63767	0.534145	106.022s	1e-05
28	0.622423	0.529793	106.323s	1e-05
29	0.610783	0.517887	105.983s	1e-05
30	0.606803	0.513386	105.707s	1e-05
31	0.594989	0.500303	105.777s	1e-05
32	0.581893	0.492167	105.952s	1e-05
33	0.575855	0.481687	106.032s	1e-05
34	0.563321	0.471789	106.153s	1e-05
35	0.552093	0.46064	105.698s	1e-05
36	0.540899	0.45662	105.883s	1e-05
37	0.526842	0.444834	106.012s	1e-05
38	0.523301	0.430162	105.921s	1e-05
39	0.507117	0.422377	105.723s	1e-05
40	0.49259	0.409054	106.03s	1e-05
41	0.48512	0.404636	106.709s	1e-05
42	0.476025	0.388384	105.802s	1e-05
43	0.458915	0.382085	105.656s	1e-05
44	0.450733	0.36553	105.865s	1e-05
45	0.436507	0.356923	105.937s	1e-05
46	0.429608	0.349582	106.526s	1e-05
47	0.414711	0.338726	106.009s	1e-05
48	0.405366	0.331498	106.052s	1e-05
49	0.395688	0.319305	106.177s	1e-05
50	0.385519	0.310573	105.776s	1e-05
51	0.377224	0.302584	105.832s	1e-05
52	0.364188	0.294224	106.363s	1e-05
53	0.358363	0.282788	106.236s	1e-05
54	0.347956	0.276675	106.052s	1e-05
55	0.337469	0.270128	106.225s	1e-05
56	0.330257	0.261078	106.165s	1e-05
57	0.317954	0.256015	106.235s	1e-05
58	0.312506	0.244512	106.365s	1e-05
59	0.301247	0.242957	105.99s	1e-05
60	0.29539	0.233149	106.029s	1e-05
61	0.286602	0.228733	106.15s	1e-05
62	0.282832	0.225359	105.809s	1e-05
63	0.272018	0.217	105.888s	1e-05
64	0.268588	0.211315	106.014s	1e-05
65	0.258544	0.208346	106.232s	1e-05
66	0.252414	0.202692	106.286s	1e-05
67	0.248406	0.19852	105.894s	1e-05
68	0.244768	0.192299	105.961s	1e-05
69	0.238448	0.190166	106.039s	1e-05
70	0.232828	0.1878	105.978s	1e-05
71	0.229382	0.183653	106.38s	1e-05
72	0.223757	0.180695	106.016s	1e-05
73	0.221916	0.177295	106.573s	1e-05
74	0.216979	0.174173	106.496s	1e-05
75	0.211048	0.172137	106.272s	1e-05
76	0.209382	0.170934	106.025s	1e-05
77	0.206764	0.166823	106.341s	1e-05
78	0.203846	0.167048	106.195s	1e-05
79	0.199398	0.164165	106.29s	1e-05
80	0.196446	0.163131	106.529s	1e-05
81	0.194361	0.161764	106.182s	1e-05
82	0.190715	0.161406	106.043s	1e-05
83	0.189151	0.157966	106.159s	1e-05
84	0.187446	0.157313	106.342s	1e-05
85	0.185591	0.155578	106.099s	1e-05
86	0.185603	0.153739	106.315s	1e-05
87	0.183839	0.153675	105.968s	1e-05
88	0.181626	0.152239	106.172s	1e-05
89	0.179524	0.152565	106.312s	1e-05
90	0.177835	0.151218	106.407s	1e-05
91	0.176231	0.151029	106.326s	1e-05
92	0.176036	0.15017	106.632s	1e-05
93	0.173604	0.149387	106.339s	1e-05
94	0.172784	0.147658	106.228s	1e-05
95	0.172029	0.146559	106.29s	1e-05
96	0.171731	0.148056	106.223s	1e-05
97	0.168479	0.147824	106.081s	1e-05
98	0.170943	0.145962	105.909s	1e-05
99	0.16824	0.146585	106.09s	1e-05
100	0.168799	0.145783	106.225s	1e-05
101	0.168671	0.145106	106.328s	1e-05
102	0.166128	0.14577	106.157s	1e-05
103	0.167264	0.144247	106.062s	1e-05
104	0.165583	0.144579	106.053s	1e-05
105	0.163333	0.145405	106.556s	1e-05
106	0.16428	0.145185	106.139s	1e-05
107	0.164269	0.148501	106.195s	1e-05
108	0.162757	0.142842	105.932s	1e-05
109	0.163437	0.143455	106.317s	1e-05
110	0.16112	0.143093	106.226s	1e-05
111	0.159696	0.143338	106.227s	1e-05
112	0.159727	0.142577	106.264s	1e-05
113	0.159581	0.141586	106.278s	1e-05
114	0.159083	0.141101	106.41s	1e-05
115	0.159593	0.141767	106.303s	1e-05
116	0.158825	0.142886	106.626s	1e-05
117	0.15864	0.142761	106.444s	1e-05
118	0.158865	0.139923	106.398s	1e-05
119	0.157592	0.140546	106.442s	1e-05
120	0.158144	0.139907	106.27s	1e-05
